block_index,timestamp,location,pH,turbidity,dissolved_oxygen,flow_rate,status,previous_hash,current_hash
0,2024-01-01 00:00:00,Reservoir-C,6.01,0.58,6.6,256.2,ANOMALY,GENESIS,620c231b26d028797d8843d6efe09aa108dabcb7b34967ab8f06a06f4063dde1
1,2024-01-01 00:30:00,River-A,7.98,2.14,7.86,122.2,NORMAL,620c231b26d028797d8843d6efe09aa108dabcb7b34967ab8f06a06f4063dde1,74a964b49a44ebe77d0805bf90a146ed43d149fb18773d239f79ef2aab83bdc1
2,2024-01-01 01:00:00,River-A,5.83,0.58,6.3,554.9,ANOMALY,74a964b49a44ebe77d0805bf90a146ed43d149fb18773d239f79ef2aab83bdc1,2ddda2f5a2164eb818cddae440453988a8ffb6de31a8d594fbc0bf4a463759b9
3,2024-01-01 01:30:00,Lake-B,7.4,1.33,8.98,631.2,NORMAL,2ddda2f5a2164eb818cddae440453988a8ffb6de31a8d594fbc0bf4a463759b9,4288a30f4b76138f047e04b8c63b3bf6e6977960be5975b50b66b00910f58230
4,2024-01-01 02:00:00,River-A,7.18,0.97,9.33,335.6,NORMAL,4288a30f4b76138f047e04b8c63b3bf6e6977960be5975b50b66b00910f58230,6bfa35559f6bc4db3e8a99851411509b58911389850759c2b5911392be546676
5,2024-01-01 02:30:00,River-A,7.22,6.16,6.56,130.4,ANOMALY,6bfa35559f6bc4db3e8a99851411509b58911389850759c2b5911392be546676,d9946bdee550ad48d195aa2446f81a9fcc7fbfa52f6bfbbc663254a5f0f6b70e
6,2024-01-01 03:00:00,Lake-B,8.45,1.64,7.71,680.6,NORMAL,d9946bdee550ad48d195aa2446f81a9fcc7fbfa52f6bfbbc663254a5f0f6b70e,9f0bac8c6f6b294a8c7498744159335e9defc14248a6e03c6282503228e27ff3
7,2024-01-01 03:30:00,River-A,7.65,2.61,5.68,259.5,NORMAL,9f0bac8c6f6b294a8c7498744159335e9defc14248a6e03c6282503228e27ff3,5c53336c47d8d212e4f357ffe967d062a46d4a75722eeef366667a3fa2de00c1
8,2024-01-01 04:00:00,River-A,8.21,3.1,7.02,417.4,NORMAL,5c53336c47d8d212e4f357ffe967d062a46d4a75722eeef366667a3fa2de00c1,bd2ec82746d709e1c1264d6bedcd947588ea9a85eee44f323051a24ac201e252
9,2024-01-01 04:30:00,Reservoir-C,7.24,1.13,6.57,755.7,NORMAL,bd2ec82746d709e1c1264d6bedcd947588ea9a85eee44f323051a24ac201e252,af88fca5721efac94b82846a9c3d597f61f3b284bd9b3237c40ffd85dc09b919
10,2024-01-01 05:00:00,Reservoir-C,7.77,2.1,6.48,423.6,NORMAL,af88fca5721efac94b82846a9c3d597f61f3b284bd9b3237c40ffd85dc09b919,9b5511e9daf83f104c44525fef21497581e0cbff458ee60f0a49df3330fe16df
11,2024-01-01 05:30:00,River-A,7.88,1.16,6.8,637.8,NORMAL,9b5511e9daf83f104c44525fef21497581e0cbff458ee60f0a49df3330fe16df,fb8a24c4cfad4c24a227f7089cf5067e592387ab516a05422d477d6edc6f20f2
12,2024-01-01 06:00:00,Reservoir-C,8.11,1.7,5.76,739.2,NORMAL,fb8a24c4cfad4c24a227f7089cf5067e592387ab516a05422d477d6edc6f20f2,0c69e259785334453a4e4a01709f288711cde84bfef68a2ae865b81d04ef3e8b
13,2024-01-01 06:30:00,Lake-B,7.13,2.47,7.08,740.2,NORMAL,0c69e259785334453a4e4a01709f288711cde84bfef68a2ae865b81d04ef3e8b,b93ca4fc59f90e27ed247c32f2205a559fd5849292b3cb770d459cf6828f8e10
14,2024-01-01 07:00:00,Reservoir-C,6.78,2.73,7.66,622.9,NORMAL,b93ca4fc59f90e27ed247c32f2205a559fd5849292b3cb770d459cf6828f8e10,d1704eeeeeb60a8ba27527db5bfa91241076afd508fae1de99021ed9bc3789a6
15,2024-01-01 07:30:00,River-A,7.3,1.16,9.49,456.7,NORMAL,d1704eeeeeb60a8ba27527db5bfa91241076afd508fae1de99021ed9bc3789a6,716a452346ddea35a9af41925dd66cc97f05b19f81d40c4ea0fbe60561eaad90
16,2024-01-01 08:00:00,Lake-B,8.22,0.96,6.14,576.3,NORMAL,716a452346ddea35a9af41925dd66cc97f05b19f81d40c4ea0fbe60561eaad90,d78ee124231969bd94b5c511409a4b3e0a03cc6cb41b15b982bec68e170d6eff
17,2024-01-01 08:30:00,River-A,7.26,5.85,7.62,779.8,ANOMALY,d78ee124231969bd94b5c511409a4b3e0a03cc6cb41b15b982bec68e170d6eff,30ac961c7e1644bbbb5637846c0e9637e15a1c17bbfe7306a29463662e616c87
18,2024-01-01 09:00:00,Lake-B,7.86,0.84,9.04,625.6,NORMAL,30ac961c7e1644bbbb5637846c0e9637e15a1c17bbfe7306a29463662e616c87,625c3d9c332afe2619c4d871c11ee9479a60b362e9b059ebfb5acbc0d0f9d3e5
19,2024-01-01 09:30:00,Lake-B,6.72,1.8,7.31,767.7,ANOMALY,625c3d9c332afe2619c4d871c11ee9479a60b362e9b059ebfb5acbc0d0f9d3e5,a182e2b51edd1048e2c0f75b81451267ef21d54358b9325fec01747a9db75fff
20,2024-01-01 10:00:00,Reservoir-C,8.44,2.79,7.53,174.5,NORMAL,a182e2b51edd1048e2c0f75b81451267ef21d54358b9325fec01747a9db75fff,f3c4fe90fb943328ab3b10d54c81b276e8cb9f3969957a4db1ec389faa49177e
