timestamp,pH,turbidity,dissolved_oxygen,flow_rate,temperature,location
2024-01-01 00:00:00,6.01,0.58,6.6,256.2,28.3,Reservoir-C
2024-01-01 00:30:00,7.98,2.14,7.86,122.2,19.3,River-A
2024-01-01 01:00:00,5.83,0.58,6.3,554.9,25.6,River-A
2024-01-01 01:30:00,7.4,1.33,8.98,631.2,20.2,Lake-B
2024-01-01 02:00:00,7.18,0.97,9.33,335.6,19.3,River-A
2024-01-01 02:30:00,7.22,6.16,6.56,130.4,24.4,River-A
2024-01-01 03:00:00,8.45,1.64,7.71,680.6,26.7,Lake-B
2024-01-01 03:30:00,7.65,2.61,5.68,259.5,22.1,River-A
2024-01-01 04:00:00,8.21,3.1,7.02,417.4,29.7,River-A
2024-01-01 04:30:00,7.24,1.13,6.57,755.7,27.1,Reservoir-C
2024-01-01 05:00:00,7.77,2.1,6.48,423.6,21.8,Reservoir-C
2024-01-01 05:30:00,7.88,1.16,6.8,637.8,18.8,River-A
2024-01-01 06:00:00,8.11,1.7,5.76,739.2,25.9,Reservoir-C
2024-01-01 06:30:00,7.13,2.47,7.08,740.2,24.4,Lake-B
2024-01-01 07:00:00,6.78,2.73,7.66,622.9,24.0,Reservoir-C
2024-01-01 07:30:00,7.3,1.16,9.49,456.7,19.3,River-A
2024-01-01 08:00:00,8.22,0.96,6.14,576.3,26.3,Lake-B
2024-01-01 08:30:00,7.26,5.85,7.62,779.8,30.1,River-A
2024-01-01 09:00:00,7.86,0.84,9.04,625.6,28.8,Lake-B
2024-01-01 09:30:00,6.72,1.8,7.31,767.7,30.3,Lake-B
2024-01-01 10:00:00,8.44,2.79,7.53,174.5,26.8,Reservoir-C
2024-01-01 10:30:00,7.52,1.1,7.0,213.1,31.3,Reservoir-C
2024-01-01 11:00:00,8.34,2.3,7.45,178.3,23.1,Lake-B
2024-01-01 11:30:00,6.98,1.22,7.77,155.1,28.2,River-A
2024-01-01 12:00:00,8.46,2.1,6.0,561.8,31.3,River-A
2024-01-01 12:30:00,7.03,3.12,7.19,248.3,25.6,Reservoir-C
2024-01-01 13:00:00,7.88,2.64,7.1,570.2,23.2,Reservoir-C
2024-01-01 13:30:00,7.4,5.83,5.76,114.7,25.8,Reservoir-C
2024-01-01 14:00:00,6.94,0.71,8.02,260.3,30.7,Lake-B
2024-01-01 14:30:00,6.64,1.21,8.18,250.0,19.9,Reservoir-C
2024-01-01 15:00:00,7.65,1.23,7.39,384.9,19.3,Reservoir-C
2024-01-01 15:30:00,7.36,1.77,7.37,610.4,27.4,Reservoir-C
2024-01-01 16:00:00,6.7,1.71,6.86,703.2,21.5,River-A
2024-01-01 16:30:00,7.57,0.92,6.23,423.8,30.2,River-A
2024-01-01 17:00:00,7.39,3.08,7.7,135.4,32.0,River-A
2024-01-01 17:30:00,8.44,3.28,8.89,216.4,24.8,River-A
2024-01-01 18:00:00,8.23,3.21,6.16,101.5,23.5,Lake-B
2024-01-01 18:30:00,7.07,2.59,8.42,648.4,27.3,Lake-B
2024-01-01 19:00:00,6.81,1.39,9.37,505.4,25.6,Reservoir-C
2024-01-01 19:30:00,7.13,0.65,7.41,743.6,25.4,River-A
2024-01-01 20:00:00,8.42,5.25,6.24,516.5,27.5,River-A
2024-01-01 20:30:00,7.31,3.32,7.78,505.2,18.6,River-A
2024-01-01 21:00:00,7.34,2.25,7.59,754.3,20.9,Reservoir-C
2024-01-01 21:30:00,7.13,1.3,6.02,551.9,24.4,River-A
2024-01-01 22:00:00,6.52,2.36,7.75,170.0,25.5,Reservoir-C
2024-01-01 22:30:00,7.03,3.3,9.02,715.5,23.2,River-A
2024-01-01 23:00:00,7.38,2.13,6.71,788.7,29.3,Reservoir-C
2024-01-01 23:30:00,6.52,2.95,6.7,564.4,31.1,River-A
2024-01-02 00:00:00,7.03,3.17,8.47,208.8,21.9,River-A
2024-01-02 00:30:00,7.94,1.11,8.04,284.8,24.8,River-A
